company,website,story_cluster,tags,description,why_you_have_a_case,profile_evidence,target_roles,priority,organization_type,team_size,city,source_url,verification_status
Anam AI,https://anam.ai,hiring_interview_ai,"artificial-intelligence,conversational-ai,hiring,workflow-automation","AI avatar and conversational product surface relevant to interview and recruiting workflows.","Current FlairX work gives a direct pitch around AI interviews, candidate experience, and human-in-the-loop recruiting workflows.","FlairX AI PM internship; ResumeGenerator/Outreach recruiting engine; technical background in applied AI workflows.","Founder, CEO, CTO, product, growth, solutions",core,startup,,,,manual_seed
HeyGen,https://www.heygen.com,hiring_interview_ai,"artificial-intelligence,generative-ai,conversational-ai,workflow-automation,productivity","Generative video and live/avatar product platform with workflow and enterprise use cases.","FlairX avatar/interview tooling exploration creates a practical product angle around live avatars, AI communication, and recruiting workflows.","FlairX AI PM internship; L'Oreal AI workflow project; ResumeGenerator/Outreach system.","Product, AI product, GTM/product strategy, founder/exec",priority,company,200+ employees,,https://www.heygen.com,manual_seed
Fivetran,https://www.fivetran.com,data_infra_observability,"data-infrastructure,data-platform,data-pipeline,etl,integration,api","Automated data movement and connector platform.","Brief first-hand Fivetran experience immediately before choosing Hevo, plus Hevo work on data connectors, customer onboarding, pipeline reliability, and enterprise data workflows. Keep the one-month Fivetran stint private and use it selectively in outreach.","Private outreach context: roughly one month at Fivetran before joining Hevo Data; Hevo Data engineering; AI monitoring/platform work; data pipeline and connector experience.","Product, technical product, platform product, solutions/product strategy",priority,company,1000+ employees,,https://www.fivetran.com,manual_seed
Airbyte,https://airbyte.com,data_infra_observability,"data-infrastructure,data-platform,data-pipeline,etl,integration,developer-tools","Open data movement and connector platform.","Hevo experience gives a direct story around connectors, ETL, integrations, and how data teams adopt infrastructure tooling.","Hevo Data engineering; connector/integration product familiarity; backend/platform engineering.","Product, developer relations, product strategy, technical product",priority,company,200+ employees,,https://airbyte.com,manual_seed
Monte Carlo,https://www.montecarlodata.com,data_infra_observability,"data-infrastructure,data-platform,observability,monitoring,analytics","Data observability platform for data reliability and trust.","Hevo monitoring work and data-platform background create a strong pitch around data reliability and trust workflows.","Hevo 2.0 AI monitoring platform; data infra engineering; enterprise data workflow exposure.","Product, technical product, data product, solutions/product strategy",priority,company,200+ employees,,https://www.montecarlodata.com,manual_seed
Datadog,https://www.datadoghq.com,data_infra_observability,"observability,monitoring,infrastructure,developer-tools,data-platform","Observability and cloud monitoring platform.","Hevo monitoring and platform engineering background maps to observability, incident workflows, and developer-facing product surfaces.","Hevo monitoring platform; backend/platform engineering; infrastructure and data systems.","Product, platform product, technical product, product strategy",priority,company,1000+ employees,,https://www.datadoghq.com,manual_seed
DoorDash,https://www.doordash.com,marketplace_logistics,"marketplace,logistics,delivery,mobility,data,consumer","Local commerce, delivery, logistics, marketplace, and ads platform.","Gojek work gives a credible marketplace/logistics pitch around fleet, pricing, dispatch, and marketplace operations.","Gojek engineering on fare pricing and fleet APIs; marketplace/logistics systems.","Product, logistics product, marketplace product, strategy and operations",dream,company,1000+ employees,,https://www.doordash.com,manual_seed
Uber,https://www.uber.com,marketplace_logistics,"marketplace,logistics,mobility,data-platform,consumer","Mobility, delivery, marketplace, and logistics platform.","Gojek experience maps cleanly to mobility marketplace, pricing, fleet, and operations systems.","Gojek fare pricing and fleet API work; backend/platform engineering.","Product, marketplace product, operations product, strategy",dream,company,1000+ employees,,https://www.uber.com,manual_seed
Grab,https://www.grab.com,marketplace_logistics,"marketplace,logistics,mobility,fintech,delivery","Southeast Asian superapp across mobility, delivery, financial services, and local commerce.","Gojek experience is directly adjacent to Grab's marketplace and superapp model.","Gojek marketplace/logistics engineering; MBA strategy angle; Southeast Asia operating context.","Product, strategy, marketplace, fintech product",priority,company,1000+ employees,,https://www.grab.com,manual_seed
Motive,https://gomotive.com,marketplace_logistics,"logistics,fleet,operations,artificial-intelligence,productivity","Fleet and physical-operations technology platform.","Gojek fleet/logistics work and data/platform background create a direct pitch around operations and fleet productivity.","Gojek fleet API work; marketplace/logistics systems; backend/data engineering.","Product, fleet product, operations product, strategy",priority,company,1000+ employees,,https://gomotive.com,manual_seed
Ramp,https://ramp.com,fintech_billing_trust,"fintech,payments,billing,workflow-automation,data","Corporate spend, procurement, card, and finance automation platform.","Intuit billing/SMB-finance experience maps to finance workflows, trust, spend controls, and automation.","Intuit engineering; billing/financial systems; MBA strategy and product transition.","Product, fintech product, platform product, strategy",dream,company,1000+ employees,,https://ramp.com,manual_seed
Stripe,https://stripe.com,fintech_billing_trust,"fintech,payments,billing,developer-tools,api","Payments and financial infrastructure platform.","Intuit billing plus engineering/API background gives a real angle into payments infrastructure and developer-facing fintech.","Intuit billing/financial systems; backend/API engineering; Hevo connector experience.","Product, platform product, payments product, developer product",dream,company,1000+ employees,,https://stripe.com,manual_seed
Recurly,https://recurly.com,fintech_billing_trust,"billing,fintech,payments,saas,workflow-automation","Subscription billing and revenue management platform.","Intuit billing work gives a focused pitch around billing workflows, SMB finance, and subscription monetization.","Intuit billing/financial systems; backend engineering; MBA product strategy.","Product, billing product, platform product, strategy",priority,company,200+ employees,,https://recurly.com,manual_seed
Plaid,https://plaid.com,fintech_billing_trust,"fintech,api,data-platform,payments,developer-tools","Financial data API and payments infrastructure platform.","Intuit and Hevo together support a pitch around financial data, APIs, integrations, and trust.","Intuit financial systems; Hevo connector/data integration experience; backend/API engineering.","Product, platform product, API product, fintech product",priority,company,1000+ employees,,https://plaid.com,manual_seed
Redox,https://www.redoxengine.com,healthtech_interop,"healthcare,healthtech,integration,api,data-platform","Healthcare interoperability and integration platform.","Optum plus Hevo API/integration background creates a direct healthcare data workflow pitch.","Optum healthcare exposure; Hevo integration/data platform work; regulated workflow familiarity.","Product, interoperability product, platform product, solutions/product strategy",priority,company,200+ employees,,https://www.redoxengine.com,manual_seed
Commure,https://www.commure.com,healthtech_interop,"healthcare,healthtech,workflow-automation,data-platform,artificial-intelligence","Healthcare workflow and technology platform.","Optum and AI workflow work support a pitch around care workflows, provider operations, and regulated AI products.","Optum healthcare exposure; FlairX applied AI PM work; backend/data systems.","Product, AI product, healthcare product, strategy and operations",priority,company,200+ employees,,https://www.commure.com,manual_seed
Abridge,https://www.abridge.com,healthtech_interop,"healthcare,healthtech,artificial-intelligence,workflow-automation,nlp","AI clinical documentation platform.","Optum and applied AI workflow experience create a credible angle around clinician workflow automation and human review boundaries.","Optum healthcare exposure; FlairX AI PM internship; L'Oreal AI workflow project.","Product, AI product, clinical workflow product, strategy",priority,company,200+ employees,,https://www.abridge.com,manual_seed
Retool,https://retool.com,ai_workflow_productivity,"developer-tools,workflow-automation,data-platform,artificial-intelligence,productivity","Platform for internal tools, apps, workflows, and AI agents.","ResumeGenerator/Outreach plus engineering background gives a direct pitch around internal tools, workflow automation, and AI-assisted operations.","Built ResumeGenerator and Outreach engine; backend/platform engineering; MBA/operator angle.","Product, developer product, AI workflow product, strategy",dream,company,200+ employees,,https://retool.com,manual_seed
Zapier,https://zapier.com,ai_workflow_productivity,"workflow-automation,productivity,integration,artificial-intelligence,api","Automation platform connecting business apps and workflows.","ResumeGenerator/Outreach and Hevo integration background create a real workflow automation and connector story.","Hevo connectors/integrations; ResumeGenerator/Outreach automation; L'Oreal AI workflow project.","Product, automation product, integrations product, AI workflow",priority,company,1000+ employees,,https://zapier.com,manual_seed
Writer,https://writer.com,ai_workflow_productivity,"artificial-intelligence,generative-ai,productivity,workflow-automation,enterprise-software","Enterprise generative AI platform for business workflows.","L'Oreal AI workflow work and recruiting/outreach content systems create a pitch around enterprise AI adoption and workflow quality.","L'Oreal AI workflow project; FlairX AI PM internship; communication/content engine work.","Product, AI product, enterprise workflow product, strategy",priority,company,200+ employees,,https://writer.com,manual_seed
Glean,https://www.glean.com,ai_workflow_productivity,"artificial-intelligence,productivity,enterprise-search,workflow-automation,data-platform","Enterprise AI search and knowledge platform.","ResumeGenerator/Outreach and data-platform background create a pitch around knowledge workflows, retrieval, and productivity systems.","Hevo data/platform engineering; ResumeGenerator/Outreach system; L'Oreal AI workflow project.","Product, AI product, enterprise productivity product, strategy",priority,company,1000+ employees,,https://www.glean.com,manual_seed
